epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,2896.07,0.92696,0.64816,1.13854,0.7469,0.66472,0.74464,0.42381,1.51298,1.10845,1.46998,0.0003764,0.0003764,0.0003764
84,2931.07,0.95209,0.67146,1.15557,0.78254,0.66667,0.75507,0.42353,1.5158,1.10258,1.47084,0.0003566,0.0003566,0.0003566
85,2965.67,0.92542,0.65305,1.13872,0.7864,0.64133,0.74297,0.42376,1.50942,1.10876,1.47761,0.0003368,0.0003368,0.0003368
86,3000.78,0.91891,0.62119,1.13326,0.77901,0.65887,0.74062,0.42219,1.53154,1.10339,1.49112,0.000317,0.000317,0.000317
87,3035.42,0.93295,0.64865,1.14671,0.75404,0.66932,0.73795,0.41431,1.55387,1.10539,1.50224,0.0002972,0.0002972,0.0002972
88,3070.61,0.92159,0.63708,1.1341,0.74623,0.6764,0.73966,0.42375,1.53025,1.09685,1.48017,0.0002774,0.0002774,0.0002774
89,3105.2,0.91602,0.62981,1.12156,0.76776,0.68421,0.75873,0.43202,1.53185,1.07995,1.48877,0.0002576,0.0002576,0.0002576
90,3140.36,0.90717,0.62634,1.12586,0.7644,0.67836,0.75786,0.42426,1.54827,1.08876,1.49226,0.0002378,0.0002378,0.0002378
91,3183.79,0.89597,0.58913,1.11275,0.81651,0.65055,0.75001,0.41902,1.54957,1.07617,1.5139,0.000218,0.000218,0.000218
92,3218.98,0.87941,0.57199,1.11309,0.77335,0.64912,0.74286,0.41518,1.56299,1.10594,1.51536,0.0001982,0.0001982,0.0001982
93,3253.46,0.86821,0.55559,1.11833,0.79911,0.67459,0.7601,0.42653,1.52483,1.05685,1.48509,0.0001784,0.0001784,0.0001784
94,3288.33,0.86059,0.54952,1.10805,0.74151,0.69006,0.75024,0.41831,1.54253,1.10582,1.49409,0.0001586,0.0001586,0.0001586
95,3322.89,0.8576,0.53795,1.09491,0.78486,0.65302,0.7491,0.42546,1.52884,1.09409,1.49197,0.0001388,0.0001388,0.0001388
96,3357.51,0.8545,0.54564,1.08955,0.80129,0.65302,0.75754,0.43156,1.52285,1.07556,1.48542,0.000119,0.000119,0.000119
97,3392.65,0.86576,0.54963,1.09883,0.77095,0.68235,0.76095,0.4402,1.50155,1.05119,1.47138,9.92e-05,9.92e-05,9.92e-05
98,3427.17,0.86651,0.54328,1.10144,0.7757,0.68226,0.76521,0.43677,1.50359,1.03464,1.48034,7.94e-05,7.94e-05,7.94e-05
99,3461.69,0.85814,0.53869,1.09252,0.77671,0.66472,0.75273,0.42998,1.51187,1.0612,1.48661,5.96e-05,5.96e-05,5.96e-05
100,3496.88,0.84329,0.52526,1.09232,0.7593,0.68421,0.75829,0.43889,1.50636,1.04838,1.47802,3.98e-05,3.98e-05,3.98e-05
